Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
-11,425,505,68947.828,66504.0,26882.107999999935,0.03544459732654659,2024-03-16 04:15:00,2024-03-17 00:15:00,0 days 20:00:00
12,506,507,66629.994,66223.0,-4883.928000000073,-0.006108270098298507,2024-03-17 00:30:00,2024-03-17 00:45:00,0 days 00:15:00
-12,508,516,66179.376,65720.0,5512.512000000046,0.006941377023561013,2024-03-17 01:00:00,2024-03-17 03:00:00,0 days 02:00:00
-13,517,518,65373.99,65822.0,-5824.1300000000265,-0.006853031304957957,2024-03-17 03:15:00,2024-03-17 03:30:00,0 days 00:15:00
12,519,605,66505.746,68661.0,25863.04800000001,0.03240703442376236,2024-03-17 03:45:00,2024-03-18 01:15:00,0 days 21:30:00
-12,606,607,68402.92,68707.0,-3648.960000000021,-0.0044454242596660976,2024-03-18 01:30:00,2024-03-18 01:45:00,0 days 00:15:00
-12,608,626,68408.908,68452.0,-517.1040000000503,-0.0006299179633155738,2024-03-18 02:00:00,2024-03-18 06:30:00,0 days 04:30:00
12,627,634,68567.862,68030.0,-6454.343999999925,-0.007844228831285327,2024-03-18 06:45:00,2024-03-18 08:30:00,0 days 01:45:00
-12,635,672,67552.624,67736.0,-2200.512000000046,-0.0027145651662621173,2024-03-18 08:45:00,2024-03-18 18:00:00,0 days 09:15:00
12,673,676,67977.684,67642.0,-4028.207999999926,-0.004938149996401631,2024-03-18 18:15:00,2024-03-18 19:00:00,0 days 00:45:00
12,677,679,68045.82,67446.0,-7197.840000000084,-0.008814942637181966,2024-03-18 19:15:00,2024-03-18 19:45:00,0 days 00:30:00
-12,680,700,66988.754,65258.0,20769.04800000001,0.025836485927175246,2024-03-18 20:00:00,2024-03-19 01:00:00,0 days 05:00:00
13,701,702,65591.922,65037.0,-7213.986000000077,-0.008460218622653004,2024-03-19 01:15:00,2024-03-19 01:30:00,0 days 00:15:00
-13,703,708,64720.3,64769.0,-633.0999999999622,-0.0007524686999287322,2024-03-19 01:45:00,2024-03-19 03:00:00,0 days 01:15:00
-13,709,716,64301.14,64210.0,1184.8199999999924,0.001417393221955332,2024-03-19 03:15:00,2024-03-19 05:00:00,0 days 01:45:00
-13,717,739,63592.56,64025.0,-5621.72000000003,-0.006800166560364973,2024-03-19 05:15:00,2024-03-19 10:45:00,0 days 05:30:00
13,740,757,64268.28,63836.0,-5619.639999999985,-0.006726179695488943,2024-03-19 11:00:00,2024-03-19 15:15:00,0 days 04:15:00
-13,758,763,63661.422,63977.0,-4102.514000000017,-0.0049571308664766445,2024-03-19 15:30:00,2024-03-19 16:45:00,0 days 01:15:00
13,764,765,64164.072,63574.0,-7670.9360000000015,-0.00919629913762332,2024-03-19 17:00:00,2024-03-19 17:15:00,0 days 00:15:00
-13,766,795,62964.818,61472.0,19406.63399999999,0.02370876383697318,2024-03-19 17:30:00,2024-03-20 00:45:00,0 days 07:15:00
13,796,838,61648.05,62637.0,12856.349999999962,0.016041869937491793,2024-03-20 01:00:00,2024-03-20 11:30:00,0 days 10:30:00
-13,839,841,62995.756,63699.0,-9142.171999999984,-0.01116335519491174,2024-03-20 11:45:00,2024-03-20 12:15:00,0 days 00:30:00
13,842,907,64256.256,66751.0,32431.671999999984,0.03882492002023885,2024-03-20 12:30:00,2024-03-21 04:45:00,0 days 16:15:00
-13,908,909,66731.27,67008.0,-3597.489999999947,-0.00414693141611111,2024-03-21 05:00:00,2024-03-21 05:15:00,0 days 00:15:00
-13,910,912,66784.164,66998.0,-2779.867999999944,-0.0032018967849922753,2024-03-21 05:30:00,2024-03-21 06:00:00,0 days 00:30:00
13,913,914,67241.214,66888.0,-4591.782000000094,-0.005252939067994955,2024-03-21 06:15:00,2024-03-21 06:30:00,0 days 00:15:00
